Precio	Expensas	Calle	Altura	Piso	Ubicacion	Detalles	Caracteristicas	Descripción	Publicado	Visualizaciones	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 232.300	N/A	Avenida Cabildo al	4600	0	Núñez, Capital Federal	69 m² tot. | 3 amb. | 2 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Parrilla | Pileta | Solarium | Superficie Semicubierta (m²): 7 | Encargado / Vigilancia | Lavadero | Balcón | Aire acondicionado | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-nunez-full-amenities-58602816.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=1	1	0	1	0	0	1	0	1
USD 100.000	$ 180.000 Expensas	Vidt	1700	0	Palermo, Capital Federal	41 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Departamentos por piso: 2 | Ascensor | Cocina | Comedor | Balcón | Living | Living comedor | Hall | Cocina equipada	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-reciclado-super-luminoso-apto-prof.-58542614.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=2	0	0	0	0	0	0	0	1
USD 920.000	N/A	Av Cordoba al	5400	0	Palermo, Capital Federal	449 m² tot.	Frente del terreno (mts): 8 | Largo del terreno (mts): 53	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-venta-palermo-57483197.html?n_src=Listado&n_pg=1&n_pos=3	0	0	0	0	0	0	0	0
USD 118.000	N/A	Rio de Janeiro	570	0	Caballito, Capital Federal	39 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad pisos en edificio: 14 | Cantidad plantas | Sala de juegos | Parrilla | Permite mascotas | Pileta | Solarium | Departamentos por piso: 5 | Servicio de limpieza | Laundry | Internet / Wifi | Living comedor | Cocina equipada | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-hermoso-departamento-2-ambientes-a-estrenar-en-57626063.html?n_src=Listado&n_pills=Laundry&n_pg=1&n_pos=5	1	0	0	0	0	0	0	0
USD 140.000	$ 300.000 Expensas	Cullen al	4900	0	Villa Urquiza, Capital Federal	60 m² tot. | 3 amb. | 2 dorm. | 1 baño | 1 coch.	Cantidad plantas: 1 | Apto crédito | Permite mascotas | Cobertura cochera: Descubierta | Superficie Semicubierta (m²): 6 | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Terraza | Balcón | Living | Living comedor | Hall | Aire acondicionado | Calefacción | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-villa-urquiza-con-57897018.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=6	0	0	1	1	1	1	0	1
USD 140.000	$ 240.000 Expensas	Avenida Santa Fe	5300	5º	Belgrano, Capital Federal	88 m² tot. | 3 amb. | 2 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Apto crédito | Permite mascotas | Superficie Semicubierta (m²): 0 | Cocina | Balcón | Aire acondicionado | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-3-ambientes-con-2-patios.-excelente-ubicacion!-56273143.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=7	0	0	1	1	0	0	0	1
USD 59.000	N/A	Terrada	26	0	Flores, Capital Federal	28 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 1 | Superficie Semicubierta (m²): 0 | Internet / Wifi | Ascensor | Cocina | Living comedor | Termotanque	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-flores-luminoso-57605969.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=9	0	0	0	0	0	0	0	0
USD 720.000	$ 850.000 Expensas	Seguí al 4500 Esquina Oro	N/A	N/A	Palermo Nuevo, Palermo	195 m² tot. | 6 amb. | 4 dorm. | 3 baños | 1 coch.	Cantidad plantas: 5 o más | Apto crédito | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 10 | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Lavadero | Balcón | Living | Baulera | Living comedor | Dormitorio en suite | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-6-ambientes-en-segui-y-oro-con-cochera-palermo-56286978.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=10	0	0	0	1	1	1	0	1
USD 1.500.000	$ 1.400.000 Expensas	Godoy Cruz al	3000	0	Palermo, Capital Federal	254 m² tot. | 4 amb. | 3 dorm. | 2 baños | 3 coch.	Cantidad plantas: 3 | Apto crédito | Parrilla | Permite mascotas | Gimnasio | Pileta | Cobertura cochera: Cubierta | Solarium | Superficie Semicubierta (m²): 0 | Laundry | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Dependencia servicio | Terraza | Lavadero | Balcón | Living | Baulera | Living comedor | Dormitorio en suite | Vestidor | Hall | Aire acondicionado | Sauna | Quincho | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-quartier-demaria-piso-alto-3-dorm.-y-dependencia-58340272.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=11	1	0	1	1	1	1	0	1
USD 230.000	$ 180.000 Expensas	Av Comodoro Martín Rivadavia al	1600	0	Núñez, Capital Federal	60 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 1 | Apto crédito | Superficie Semicubierta (m²): 8 | Ascensor | Cocina | Balcón | Living | Living comedor | Dormitorio en suite	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-amplio-balcon-nunez-57661925.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=13	0	0	0	1	0	0	0	1
USD 220.000	$ 300.000 Expensas	Junín	1100	0	Recoleta, Capital Federal	81 m² tot. | 3 amb. | 2 dorm. | 1 baño	Cantidad plantas: 5 o más | Apto crédito | Permite mascotas | Ascensor | Cocina | Comedor | Dependencia servicio | Lavadero | Balcón | Living | Aire acondicionado | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-dependencia-en-recoleta-58562898.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=14	0	0	1	1	0	0	0	1
USD 98.888	N/A	Rojas	1892	0	Villa Crespo, Capital Federal	37 m² tot. | 1 amb. | 1 baño	Cantidad plantas: 1 | Gimnasio | Pileta | Solarium | Superficie Semicubierta (m²): 4 | Laundry | Balcón | Living comedor | Vestidor | Aire acondicionado | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-1-ambiente-en-villa-crespo-de-57789403.html?n_src=Listado&n_pills=Pileta&n_pg=1&n_pos=15	1	0	1	0	0	0	0	1
USD 165.000	N/A	ESMERALDA 100. Entre Bartolome mitre y Rivadavia, av.	N/A	N/A	Centro / Microcentro, Capital Federal	91 m² tot. | 4 amb. | 3 dorm. | 2 baños	Superficie Semicubierta (m²): 0 | Balcón | Living comedor	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-4-ambientes-centro-58601153.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=17	0	0	0	0	0	0	0	1
USD 78.468	N/A	Montañeses	2200	0	Barrio Chino, Belgrano	26 m² tot. | 1 amb. | 1 baño	Apto profesional | Cantidad plantas: 1 | Parrilla | Superficie Semicubierta (m²): 2 | Laundry | Internet / Wifi	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-mono-ambiente-en-venta-belgrano-barrio-55177129.html?n_src=Listado&n_pills=Laundry&n_pg=1&n_pos=18	1	0	0	0	0	0	0	0
USD 2.800.000	N/A	Del Libertador Av. al	3800	0	Palermo, Capital Federal	363 m² tot. | 4 amb. | 3 dorm.	Cantidad plantas: 1 | Gimnasio | Pileta | Superficie Semicubierta (m²): 0 | Ascensor | Cocina | Dependencia servicio | Lavadero | Balcón | Living comedor | Dormitorio en suite | Escritorio | Hall | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-lavenue-58228005.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=1&n_pos=19	1	0	0	0	0	0	0	1
USD 229.000	$ 480.000 Expensas	Honduras al	6000	0	Palermo, Capital Federal	78 m² tot. | 4 amb. | 3 dorm. | 1 baño | 1 coch.	Cantidad plantas: 1 | Permite mascotas | Pileta | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 2 | Encargado / Vigilancia | Ascensor | Cocina | Comedor de diario | Lavadero | Balcón | Living | Living comedor | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-palermo-4-ambientes-bano-y-57661736.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=21	1	0	0	0	1	1	0	1
USD 365.000	$ 600.000 Expensas	Olleros al	2300	0	Belgrano, Capital Federal	121 m² tot. | 4 amb. | 3 dorm. | 3 baños | 2 coch.	Cantidad plantas: 1 | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 7 | Encargado / Vigilancia | Ascensor | Cocina | Comedor de diario | Lavadero | Baulera | Aire acondicionado | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-4-ambientes-en-belgrano-58476395.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=22	0	0	1	0	1	1	0	0
USD 61.000	$ 138.000 Expensas	Valentín Gómez al	2600	0	Balvanera, Capital Federal	52 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 5 o más | Apto crédito | Superficie Semicubierta (m²): 1 | Encargado / Vigilancia | Internet / Wifi | Ascensor | Patio | Lavadero | Living | Aire acondicionado | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-2-ambientes-en-balvanera-ideal-58619594.html?n_src=Listado&n_pills=Pileta&n_pg=1&n_pos=23	0	0	1	1	0	1	0	0
USD 80.000	$ 127.000 Expensas	Avenida San Juan al	4100	0	Boedo, Capital Federal	40 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 1 | Apto crédito | Permite mascotas | Superficie Semicubierta (m²): 0 | Encargado / Vigilancia | Ascensor | Cocina | Balcón | Living comedor | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-40-m-sup2--en-boedo-58714579.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=24	0	0	0	1	0	1	0	1
USD 214.900	$ 529.900 Expensas	Av. Corrientes al	4200	0	Almagro, Capital Federal	97 m² tot. | 4 amb. | 3 dorm. | 2 baños	Apto profesional | Cantidad plantas: 5 o más | Apto crédito | Parrilla | Permite mascotas | Pileta | Superficie Semicubierta (m²): 3 | Encargado / Vigilancia | Ascensor | Cocina | Balcón | Living comedor | Dormitorio en suite | Aire acondicionado | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-4-ambientes-en-almagro-a-estrenar-56850750.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=25	1	0	1	1	0	1	0	1
USD 145.000	N/A	PH 5 amb con Terraza Propia SIN Expensas Sarachaga al 5400 Villa Luro	N/A	N/A	Villa Luro, Capital Federal	113 m² tot. | 5 amb. | 4 dorm. | 2 baños	Frente del terreno (mts): 0 | Apto profesional | Largo del terreno (mts): 0 | Cantidad plantas: 2 | Apto crédito | Parrilla | Permite mascotas | Superficie Semicubierta (m²): 24 | Cocina | Comedor | Patio | Comedor de diario | Dependencia servicio | Terraza | Altillo | Lavadero | Living | Baulera | Living comedor | Hall | Aire acondicionado | Calefacción | Quincho	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-5-amb-con-terraza-sin-expensas-58056425.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=26	1	0	1	1	0	0	0	1
USD 183.000	$ 178.000 Expensas	Vidal al 2000 -	2	0	Belgrano, Capital Federal	60 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Permite mascotas | Gimnasio | Pileta | Superficie Semicubierta (m²): 6 | Encargado / Vigilancia | Ascensor | Cocina | Lavadero | Balcón | Living comedor | Aire acondicionado | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-sky-vidal-2080-2-ambientes-toilette-balcon-58052314.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=27	1	0	1	0	0	1	0	1
USD 1.400.000	N/A	Mariscal Antonio Jose de Sucre al	4000	0	Belgrano, Capital Federal	534 m² tot. | 5 dorm. | 5 baños | 3 coch.	Frente del terreno (mts): 8 | Largo del terreno (mts): 50 | Sala de juegos | Parrilla | Pileta | Cobertura cochera: Cubierta | Solarium | Cocina | Comedor | Patio | Comedor de diario | Sótano | Dependencia servicio | Terraza | Lavadero | Balcón | Living | Baulera | Living comedor | Dormitorio en suite | Escritorio | Vestidor | Hall | Jardín | Aire acondicionado | Alarma | Calefacción | Quincho	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-sucre-y-tronador-57538489.html?n_src=Listado&n_pills=Quincho&n_pg=1&n_pos=28	1	0	1	0	1	0	0	1
USD 275.000	$ 400.000 Expensas	Av. Santa Fe al	3200	0	Palermo, Capital Federal	111 m² tot. | 4 amb. | 3 dorm. | 3 baños	Cantidad plantas: 1 | Permite mascotas | Superficie Semicubierta (m²): 0 | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Lavadero | Balcón | Living | Living comedor | Escritorio | Aire acondicionado | Calefacción | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-4-ambientes-en-venta-palermo-58109508.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=29	0	0	1	0	0	1	0	1
USD 169.000	N/A	Uriarte al	2200	0	Palermo Soho, Palermo	53 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 1 | Parrilla | Solarium | Superficie Semicubierta (m²): 8 | Laundry | Cocina | Comedor | Living | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes-a-estrenar-con-balcon-y-amenities-57863977.html?n_src=Listado&n_pills=Laundry&n_pg=1&n_pos=30	1	0	0	0	0	0	0	0
USD 750.000	$ 1.800.000 Expensas	Soldado de la Independencia al	800	0	Las Cañitas, Palermo	239 m² tot. | 5 amb. | 4 dorm. | 3 baños | 2 coch.	Cantidad plantas: 1 | Parrilla | Pileta | Cobertura cochera: Cubierta | Solarium | Superficie Semicubierta (m²): 19 | Encargado / Vigilancia | Ascensor | Cocina | Comedor de diario | Dependencia servicio | Lavadero | Balcón | Baulera | Living comedor | Dormitorio en suite | Vestidor | Hall | Aire acondicionado | Caldera | Termotanque | Quincho | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-piso-de-5-ambientes-con-balcon-2-cocheras-58051214.html?n_src=Listado&n_pills=Pileta&n_pg=2&n_pos=1	1	0	1	0	1	1	0	1
USD 210.000	$ 600.000 Expensas	Amenabar al 1800	5	0	Belgrano, Capital Federal	91 m² tot. | 3 amb. | 2 dorm. | 1 baño | 1 coch.	Cantidad plantas: 1 | Apto crédito | Permite mascotas | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 2 | Encargado / Vigilancia | Ascensor | Cocina | Comedor de diario | Dependencia servicio | Lavadero | Balcón | Living comedor | Hall | Aire acondicionado | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-venta-3-ambientes-balcon-cochera-58541805.html?n_src=Listado&n_pills=Encargado&n_pg=2&n_pos=2	0	0	1	1	1	1	0	1
USD 135.000	N/A	Olazabal al	1400	0	Belgrano, Capital Federal	44 m² tot. | 1 amb. | 1 dorm. | 1 baño	Apto profesional | Superficie Semicubierta (m²): 0 | Cocina | Balcón | Living comedor	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oportunidad-para-inversion-loft-de-44-m-en-la-mejor-57710408.html?n_src=Listado&n_pg=2&n_pos=3	0	0	0	0	0	0	0	1
USD 330.000	N/A	BUCARELLI 1700. Entre Balivian y Atenas	N/A	N/A	Parque Chas, Capital Federal	214 m² tot. | 5 amb. | 4 dorm. | 2 baños	Parrilla | Superficie Semicubierta (m²): 0 | Patio | Living comedor | Escritorio	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-reservado-casa-5-ambientes-venta-parque-cha-57947166.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=5	1	0	0	0	0	0	0	0
USD 215.000	N/A	PIZARRO 7533. Entre Fragata Trinidad y Jose Leon Suarez	N/A	N/A	Mataderos, Capital Federal	156 m² tot. | 4 amb. | 3 dorm. | 2 baños	Cantidad plantas: 2 | Parrilla | Hidromasaje | Terraza | Lavadero	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-4-amb-al-fte-1er-piso-por-esc-con-terraza-y-58651157.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=6	1	0	0	0	0	0	0	1
USD 270.000	$ 480.000 Expensas	Palpa al	2300	0	Belgrano, Capital Federal	134 m² tot. | 4 amb. | 3 dorm. | 2 baños | 1 coch.	Cantidad plantas: 1 | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 8 | Encargado / Vigilancia | Internet / Wifi | Ascensor | Cocina | Comedor | Comedor de diario | Dependencia servicio | Lavadero | Balcón | Living | Baulera | Living comedor | Dormitorio en suite | Aire acondicionado | Calefacción | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-4-ambientes-con-dependencia-y-con-cochera-belgrano-58293755.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=7	0	0	1	0	1	1	0	1
USD 150.000	$ 50.000 Expensas	Azcuénaga e/ Marcelo Torcuato de Alvear y Avenida Santa Fe	N/A	N/A	Recoleta, Capital Federal	62 m² tot. | 3 amb. | 2 dorm. | 1 baño	Cantidad plantas: 1 | Superficie Semicubierta (m²): 2 | Ascensor | Cocina | Living comedor | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-2-dorm.-2-banos-recoleta-58172822.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=9	0	0	0	0	0	0	0	0
USD 179.000	N/A	Cervantes	800	0	Floresta, Capital Federal	151 m² tot. | 6 amb. | 4 dorm. | 2 baños | 1 coch.	Frente del terreno (mts): 0 | Largo del terreno (mts): 0 | Cantidad plantas: 2 | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 0 | Cocina | Comedor de diario | Terraza | Lavadero	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-tipo-casa-4-ambientes-con-cochera-58690161.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=10	0	0	0	0	1	0	0	1
USD 120.000	N/A	Pringles	1200	0	Villa Crespo, Capital Federal	45 m² tot. | 1 amb. | 1 dorm. | 1 baño | 1 coch.	Cantidad plantas: 1 | Parrilla | Permite mascotas | Cobertura cochera: Descubierta | Superficie Semicubierta (m²): 6 | Ascensor | Comedor | Balcón | Living | Aire acondicionado | Calefacción | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-divisible-de-42-m-sup2--con-balcon-56370837.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=11	1	0	1	0	1	0	0	1
USD 737.000	$ 694.709 Expensas	OLLEROS 1900. Entre Esquina Av. Luis Maria Campos	N/A	N/A	Belgrano, Capital Federal	142 m² tot. | 5 amb. | 3 dorm. | 4 baños | 1 coch.	Gimnasio | Pileta | Solarium | Superficie Semicubierta (m²): 2 | Encargado / Vigilancia | Cocina | Comedor | Dependencia servicio | Lavadero | Balcón | Living | Dormitorio en suite | Hall | Aire acondicionado | Calefacción | Quincho | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oppel-departamento-en-venta-belgrano-capital-47899327.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=2&n_pos=13	1	0	1	0	1	1	0	1
USD 390.000	N/A	Uruguay al	500	0	San Nicolás, Capital Federal	52 m² tot. | 2 baños	Frente del terreno (mts): 0 | Largo del terreno (mts): 0 | Cantidad plantas: 1 | Cocina	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-venta-local-tribunales-en-esquina-56708638.html?n_src=Listado&n_pg=2&n_pos=14	0	0	0	0	0	0	0	0
